NOME_FUNDO;DOC_FUNDO;DATA_FUNDO;NOME_ORIGINADOR;DOC_ORIGINADOR;NOME_CEDENTE;DOC_CEDENTE;NOME_SACADO;DOC_SACADO;SEU_NUMERO;NU_DOCUMENTO;TIPO_RECEBIVEL;VALOR_NOMINAL;VALOR_PRESENTE;VALOR_AQUISICAO;VALOR_PDD;FAIXA_PDD;DATA_REFERENCIA;DATA_VENCIMENTO_ORIGINAL;DATA_VENCIMENTO_AJUSTADA;DATA_EMISSAO;DATA_AQUISICAO;PRAZO;PRAZO_ATUAL;SITUACAO_RECEBIVEL;TAXA_CESSAO;TX_RECEBIVEL;COOBRIGACAO
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;ASSOCIACAO JABOTICABALENSE DE EDUCACAO E;45.337.425/0001-29;607037327_23;607037327;CCB Digital;6.423,10;5.280,52;4.330,02;0,00;A;23/05/2022;18/04/2023;18/04/2023;22/06/2021;22/06/2021;459;228;A vencer;0,24057593;0,24171587;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;ASSOCIACAO JABOTICABALENSE DE EDUCACAO E;45.337.425/0001-29;607037327_24;607037327;CCB Digital;6.423,10;5.188,93;4.253,67;0,00;A;23/05/2022;18/05/2023;18/05/2023;22/06/2021;22/06/2021;479;248;A vencer;0,24057593;0,24211308;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;ASSOCIACAO JABOTICABALENSE DE EDUCACAO E;45.337.425/0001-29;607037327_13;607037327;CCB Digital;6.423,10;6.319,45;5.185,35;0,00;A;23/05/2022;18/06/2022;18/06/2022;22/06/2021;22/06/2021;250;19;A vencer;0,24057593;0,24082444;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;ASSOCIACAO JABOTICABALENSE DE EDUCACAO E;45.337.425/0001-29;607037327_14;607037327;CCB Digital;6.423,10;6.211,55;5.093,92;0,00;A;23/05/2022;18/07/2022;18/07/2022;22/06/2021;22/06/2021;270;39;A vencer;0,24057593;0,24159434;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;ASSOCIACAO JABOTICABALENSE DE EDUCACAO E;45.337.425/0001-29;607037327_15;607037327;CCB Digital;6.423,10;6.091,84;5.001,13;0,00;A;23/05/2022;18/08/2022;18/08/2022;22/06/2021;22/06/2021;293;62;A vencer;0,24057593;0,24013579;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;ASSOCIACAO JABOTICABALENSE DE EDUCACAO E;45.337.425/0001-29;607037327_16;607037327;CCB Digital;6.423,10;5.982,85;4.910,04;0,00;A;23/05/2022;18/09/2022;18/09/2022;22/06/2021;22/06/2021;314;83;A vencer;0,24057593;0,24058048;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;ASSOCIACAO JABOTICABALENSE DE EDUCACAO E;45.337.425/0001-29;607037327_17;607037327;CCB Digital;6.423,10;5.880,12;4.823,47;0,00;A;23/05/2022;18/10/2022;18/10/2022;22/06/2021;22/06/2021;334;103;A vencer;0,24057593;0,24121622;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;ASSOCIACAO JABOTICABALENSE DE EDUCACAO E;45.337.425/0001-29;607037327_18;607037327;CCB Digital;6.423,10;5.774,43;4.735,61;0,00;A;23/05/2022;18/11/2022;18/11/2022;22/06/2021;22/06/2021;355;124;A vencer;0,24057593;0,24154702;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;ASSOCIACAO JABOTICABALENSE DE EDUCACAO E;45.337.425/0001-29;607037327_12;607037327;CCB Digital;6.423,10;6.423,10;5.281,55;0,00;A;23/05/2022;18/05/2022;18/05/2022;22/06/2021;22/06/2021;228;-5;Vencido;0,24057593;0,24144904;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;KAIIMA BRASIL SEMENTES LTDA.;29.606.905/0001-91;607035600_20;607035600;CCB Digital;4.905,88;4.469,22;3.856,35;0,00;A;23/05/2022;20/12/2022;20/12/2022;22/06/2021;22/06/2021;377;146;A vencer;0,17385779;0,17456895;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;KAIIMA BRASIL SEMENTES LTDA.;29.606.905/0001-91;607035600_21;607035600;CCB Digital;4.905,88;4.405,97;3.804,01;0,00;A;23/05/2022;20/01/2023;20/01/2023;22/06/2021;22/06/2021;400;169;A vencer;0,17385779;0,17381437;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;KAIIMA BRASIL SEMENTES LTDA.;29.606.905/0001-91;607035600_22;607035600;CCB Digital;4.905,88;4.346,90;3.752,37;0,00;A;23/05/2022;20/02/2023;20/02/2023;22/06/2021;22/06/2021;421;190;A vencer;0,17385779;0,17403448;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;KAIIMA BRASIL SEMENTES LTDA.;29.606.905/0001-91;607035600_23;607035600;CCB Digital;4.905,88;4.295,57;3.706,33;0,00;A;23/05/2022;20/03/2023;20/03/2023;22/06/2021;22/06/2021;439;208;A vencer;0,17385779;0,17463109;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;KAIIMA BRASIL SEMENTES LTDA.;29.606.905/0001-91;607035600_24;607035600;CCB Digital;4.905,88;4.236,45;3.656,03;0,00;A;23/05/2022;20/04/2023;20/04/2023;22/06/2021;22/06/2021;461;230;A vencer;0,17385779;0,17438247;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;KAIIMA BRASIL SEMENTES LTDA.;29.606.905/0001-91;607035600_14;607035600;CCB Digital;4.905,88;4.846,57;4.180,37;0,00;A;23/05/2022;20/06/2022;20/06/2022;22/06/2021;22/06/2021;250;19;A vencer;0,17385779;0,17505506;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;KAIIMA BRASIL SEMENTES LTDA.;29.606.905/0001-91;607035600_15;607035600;CCB Digital;4.905,88;4.779,42;4.125,45;0,00;A;23/05/2022;20/07/2022;20/07/2022;22/06/2021;22/06/2021;272;41;A vencer;0,17385779;0,17412093;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;KAIIMA BRASIL SEMENTES LTDA.;29.606.905/0001-91;607035600_16;607035600;CCB Digital;4.905,88;4.710,91;4.069,45;0,00;A;23/05/2022;20/08/2022;20/08/2022;22/06/2021;22/06/2021;295;64;A vencer;0,17385779;0,17313505;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;OLIVEIRA & LIMA DISTRIBUIDORA DE ALIMENT;06.205.714/0001-12;607038334_14;607038334;CCB Digital;5.197,70;4.976,26;4.069,56;0,00;A;23/05/2022;02/08/2022;02/08/2022;22/06/2021;22/06/2021;281;50;A vencer;0,25164538;0,24536608;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;OLIVEIRA & LIMA DISTRIBUIDORA DE ALIMENT;06.205.714/0001-12;607038334_15;607038334;CCB Digital;5.197,70;4.879,17;3.994,24;0,00;A;23/05/2022;02/09/2022;02/09/2022;22/06/2021;22/06/2021;304;73;A vencer;0,25164538;0,24397759;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;OLIVEIRA & LIMA DISTRIBUIDORA DE ALIMENT;06.205.714/0001-12;607038334_16;607038334;CCB Digital;5.197,70;4.794,32;3.922,67;0,00;A;23/05/2022;02/10/2022;02/10/2022;22/06/2021;22/06/2021;324;93;A vencer;0,25164538;0,24470759;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;OLIVEIRA & LIMA DISTRIBUIDORA DE ALIMENT;06.205.714/0001-12;607038334_17;607038334;CCB Digital;5.197,70;4.706,97;3.850,07;0,00;A;23/05/2022;02/11/2022;02/11/2022;22/06/2021;22/06/2021;345;114;A vencer;0,25164538;0,24510724;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;OLIVEIRA & LIMA DISTRIBUIDORA DE ALIMENT;06.205.714/0001-12;607038334_18;607038334;CCB Digital;5.197,70;4.624,62;3.781,08;0,00;A;23/05/2022;02/12/2022;02/12/2022;22/06/2021;22/06/2021;365;134;A vencer;0,25164538;0,24569459;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;OLIVEIRA & LIMA DISTRIBUIDORA DE ALIMENT;06.205.714/0001-12;607038334_19;607038334;CCB Digital;5.197,70;4.540,05;3.711,10;0,00;A;23/05/2022;02/01/2023;02/01/2023;22/06/2021;22/06/2021;386;155;A vencer;0,25164538;0,24599845;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;OLIVEIRA & LIMA DISTRIBUIDORA DE ALIMENT;06.205.714/0001-12;607038334_20;607038334;CCB Digital;5.197,70;4.452,51;3.642,41;0,00;A;23/05/2022;02/02/2023;02/02/2023;22/06/2021;22/06/2021;409;178;A vencer;0,25164538;0,24493114;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;OLIVEIRA & LIMA DISTRIBUIDORA DE ALIMENT;06.205.714/0001-12;607038334_21;607038334;CCB Digital;5.197,70;4.380,91;3.581,46;0,00;A;23/05/2022;02/03/2023;02/03/2023;22/06/2021;22/06/2021;427;196;A vencer;0,25164538;0,24583253;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;OLIVEIRA & LIMA DISTRIBUIDORA DE ALIMENT;06.205.714/0001-12;607038334_22;607038334;CCB Digital;5.197,70;4.298,71;3.515,17;0,00;A;23/05/2022;02/04/2023;02/04/2023;22/06/2021;22/06/2021;449;218;A vencer;0,25164538;0,24547837;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;OLIVEIRA & LIMA DISTRIBUIDORA DE ALIMENT;06.205.714/0001-12;607038334_23;607038334;CCB Digital;5.197,70;4.226,70;3.452,19;0,00;A;23/05/2022;02/05/2023;02/05/2023;22/06/2021;22/06/2021;467;236;A vencer;0,25164538;0,24709179;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;OLIVEIRA & LIMA DISTRIBUIDORA DE ALIMENT;06.205.714/0001-12;607038334_24;607038334;CCB Digital;5.197,70;4.145,59;3.388,29;0,00;A;23/05/2022;02/06/2023;02/06/2023;22/06/2021;22/06/2021;490;259;A vencer;0,25164538;0,24614919;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;A.M. GALLO COMERCIO E REPRESENTACAO DE R;23.778.007/0001-34;607038415_12;607038415;CCB Digital;7.123,80;7.075,98;5.825,28;0,00;A;23/05/2022;02/06/2022;02/06/2022;22/06/2021;22/06/2021;239;8;A vencer;0,25164538;0,23637043;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;A.M. GALLO COMERCIO E REPRESENTACAO DE R;23.778.007/0001-34;607038415_13;607038415;CCB Digital;7.123,80;6.952,10;5.724,23;0,00;A;23/05/2022;02/07/2022;02/07/2022;22/06/2021;22/06/2021;260;29;A vencer;0,25164538;0,23615159;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;A.M. GALLO COMERCIO E REPRESENTACAO DE R;23.778.007/0001-34;607038415_14;607038415;CCB Digital;7.123,80;6.829,86;5.621,66;0,00;A;23/05/2022;02/08/2022;02/08/2022;22/06/2021;22/06/2021;281;50;A vencer;0,25164538;0,23661077;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;A.M. GALLO COMERCIO E REPRESENTACAO DE R;23.778.007/0001-34;607038415_15;607038415;CCB Digital;7.123,80;6.700,84;5.520,92;0,00;A;23/05/2022;02/09/2022;02/09/2022;22/06/2021;22/06/2021;304;73;A vencer;0,25164538;0,23527796;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;A.M. GALLO COMERCIO E REPRESENTACAO DE R;23.778.007/0001-34;607038415_16;607038415;CCB Digital;7.123,80;6.588,03;5.425,15;0,00;A;23/05/2022;02/10/2022;02/10/2022;22/06/2021;22/06/2021;324;93;A vencer;0,25164538;0,23597898;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;A.M. GALLO COMERCIO E REPRESENTACAO DE R;23.778.007/0001-34;607038415_17;607038415;CCB Digital;7.123,80;6.471,82;5.327,94;0,00;A;23/05/2022;02/11/2022;02/11/2022;22/06/2021;22/06/2021;345;114;A vencer;0,25164538;0,23636327;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;A.M. GALLO COMERCIO E REPRESENTACAO DE R;23.778.007/0001-34;607038415_18;607038415;CCB Digital;7.123,80;6.362,21;5.235,51;0,00;A;23/05/2022;02/12/2022;02/12/2022;22/06/2021;22/06/2021;365;134;A vencer;0,25164538;0,23692779;Nao
FIDC ULEND;41.391.264/0001-09;24/05/2022;ULEND GESTAO DE ATIVOS LTDA;37.069.604/0001-02;Ulend gestão financeira LTDA;32.475.607/0001-14;A.M. GALLO COMERCIO E REPRESENTACAO DE R;23.778.007/0001-34;607038415_19;607038415;CCB Digital;7.123,80;6.249,56;5.141,70;0,00;A;23/05/2022;02/01/2023;02/01/2023;22/06/2021;22/06/2021;386;155;A vencer;0,25164538;0,23721956;Nao
